TYPE,RARITY,NAME,DESCRIPTION,HEALTH,ATTACK,DEFENSE
diurnal,common,Goblin,Small and mischievous creature,9,3,4
nocturnal,common,Zombie,Decaying undead creature,5,1,2
diurnal,common,Skeleton,Fearsome warrior raised from the dead,8,4,3
nocturnal,common,Slime,Gooey and slimy creature,3,2,1
diurnal,common,Orc,Brutish and aggressive humanoid,10,5,5
nocturnal,common,Wolf,Fierce and cunning predator,7,3,2
diurnal,common,Giant Rat,Vermin lurking in dark corners,4,2,1
nocturnal,common,Bat,Nocturnal flying mammal,6,1,3
diurnal,common,Kobold,Small reptilian humanoid,5,3,2
diurnal,common,Spider,Eight-legged arachnid,7,2,3
nocturnal,uncommon,Ghoul,Flesh-eating undead creature,12,6,5
diurnal,uncommon,Wraith,Ethereal and vengeful spirit,11,7,4
nocturnal,uncommon,Harpy,Half-bird half-human creature,14,8,6
diurnal,uncommon,Werewolf,Humanoid with the ability to transform into a wolf,9,5,3
nocturnal,uncommon,Gargoyle,Stone creature brought to life,13,7,5
diurnal,uncommon,Gnoll,Hyena-like humanoid,10,6,4
nocturnal,uncommon,Vampire,Immortal creature that feeds on blood,15,9,7
diurnal,uncommon,Dwarf,Short and sturdy humanoid,12,7,6
nocturnal,uncommon,Shadow,Living darkness with malevolent intent,11,6,4
diurnal,uncommon,Centaur,Half-human half-horse creature,14,8,6
nocturnal,rare,Troll,Giant creature with regenerative abilities,18,10,9
diurnal,rare,Minotaur,Half-human half-bull creature,17,9,8
nocturnal,rare,Manticore,Lion-bodied creature with a scorpion tail,20,12,10
diurnal,rare,Griffon,Legendary creature with the body of a lion and the head of an eagle,15,10,8
nocturnal,rare,Demon,Fiery creature from the depths of the underworld,19,11,9
diurnal,rare,Phoenix,Mythical bird reborn from its own ashes,16,9,7
nocturnal,rare,Dragon,Dreaded fire-breathing creature of immense power,20,12,10
diurnal,rare,Cyclops,Giant humanoid with a single eye,18,11,9
nocturnal,rare,Gorgon,Snake-haired creature with the power to turn beings to stone,19,10,8
diurnal,rare,Hippogriff,Majestic creature with the head of a hawk and the body of a horse,17,10,8
nocturnal,epic,Hydra,Monstrous serpentine creature with regenerating heads,30,14,12
diurnal,epic,Giant,Enormous humanoid creature,28,13,11
nocturnal,epic,Behemoth,Colossal creature with immense strength,32,15,13
diurnal,epic,Kraken,Gigantic sea monster with tentacles,25,12,10
nocturnal,epic,Lich,Undead spellcaster with incredible magical power,31,14,12
diurnal,epic,Sphinx,Mysterious creature with the head of a human and the body of a lion,27,13,11
nocturnal,epic,Djinn,Powerful genie with the ability to grant wishes,30,14,12
diurnal,epic,Centipede,Giant arthropod with numerous legs and venomous bite,26,12,10
